tripduration (s),tripduration (m/s),starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,Age 
379,6.32,29:53.9,36:12.9,3278,Monmouth and 6th,40.72568548,-74.04879034,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42316,Subscriber,1979,Male,41
132,2.2,31:56.2,34:08.5,3272,Jersey & 3rd,40.72333159,-74.04595256,3269,Brunswick & 6th,40.72601173,-74.05038893,42636,Subscriber,1988,Male,32
1424,23.73,33:53.7,57:38.1,3194,McGinley Square,40.72533993,-74.06762213,3681,Grand St,40.71517768,-74.03768331,42301,Customer,1989,Male,31
383,6.38,36:10.2,42:33.3,3639,Harborside,40.7192517,-74.034234,3199,Newport Pkwy,40.7287448,-74.0321082,42283,Subscriber,1949,Male,71
144,2.4,39:48.3,42:12.3,3203,Hamilton Park,40.72759597,-74.04424731,3269,Brunswick & 6th,40.72601173,-74.05038893,42466,Subscriber,1983,Male,37
2104,35.07,40:48.0,15:52.3,3270,Jersey & 6th St,40.72528911,-74.04557168,3186,Grove St PATH,40.71958612,-74.04311746,42325,Subscriber,1987,Male,33
2076,34.6,41:10.1,15:46.3,3270,Jersey & 6th St,40.72528911,-74.04557168,3186,Grove St PATH,40.71958612,-74.04311746,42407,Customer,1969,Unknown,51
1019,16.98,43:39.3,00:39.0,3206,Hilltop,40.7311689,-74.0575736,3205,JC Medical Center,40.71653978,-74.04963791,38231,Subscriber,1983,Female,37
440,7.33,43:52.5,51:13.5,3678,Fairmount Ave,40.72572614,-74.07195926,3195,Sip Ave,40.7308971,-74.06391263,42634,Subscriber,1989,Female,31
150,2.5,49:19.5,51:49.6,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3639,Harborside,40.7192517,-74.034234,42316,Subscriber,1984,Male,36
2296,38.27,49:59.0,28:15.3,3199,Newport Pkwy,40.7287448,-74.0321082,3199,Newport Pkwy,40.7287448,-74.0321082,42112,Customer,1970,Female,50
270,4.5,53:08.6,57:39.3,3203,Hamilton Park,40.72759597,-74.04424731,3791,Hoboken Ave at Monmouth St,40.73520838,-74.04696375,40063,Subscriber,1987,Male,33
211,3.52,59:24.0,02:55.1,3195,Sip Ave,40.7308971,-74.06391263,3194,McGinley Square,40.72533993,-74.06762213,42634,Customer,1989,Male,31
1270,21.17,59:29.9,20:40.5,3638,Washington St,40.7242941,-74.0354826,3187,Warren St,40.7211236,-74.03805095,42309,Customer,1993,Female,27
3688,61.47,02:13.6,03:41.7,3214,Essex Light Rail,40.7127742,-74.0364857,3214,Essex Light Rail,40.7127742,-74.0364857,42358,Customer,1981,Male,39
1844,30.73,05:57.0,36:41.5,3205,JC Medical Center,40.71653978,-74.04963791,3205,JC Medical Center,40.71653978,-74.04963791,42264,Subscriber,1983,Male,37
451,7.52,06:43.3,14:14.6,3199,Newport Pkwy,40.7287448,-74.0321082,3639,Harborside,40.7192517,-74.034234,42283,Subscriber,1949,Male,71
289,4.82,07:00.0,11:49.6,3195,Sip Ave,40.7308971,-74.06391263,3678,Fairmount Ave,40.72572614,-74.07195926,42246,Subscriber,1994,Female,26
102,1.7,07:39.7,09:22.1,3211,Newark Ave,40.72152515,-74.04630454,3186,Grove St PATH,40.71958612,-74.04311746,42221,Subscriber,1993,Male,27
2797,46.62,09:09.5,55:47.1,3187,Warren St,40.7211236,-74.03805095,3187,Warren St,40.7211236,-74.03805095,42193,Customer,1969,Unknown,51
2506,41.77,09:46.2,51:32.3,3187,Warren St,40.7211236,-74.03805095,3211,Newark Ave,40.72152515,-74.04630454,42536,Customer,1969,Unknown,51
742,12.37,11:50.4,24:12.7,3206,Hilltop,40.7311689,-74.0575736,3198,Heights Elevator,40.74871595,-74.0404433,42516,Subscriber,1997,Male,23
153,2.55,13:36.9,16:10.8,3279,Dixon Mills,40.72163014,-74.04996783,3186,Grove St PATH,40.71958612,-74.04311746,42239,Subscriber,1993,Male,27
371,6.18,19:11.8,25:22.9,3203,Hamilton Park,40.72759597,-74.04424731,3199,Newport Pkwy,40.7287448,-74.0321082,42321,Customer,1969,Unknown,51
319,5.32,19:31.0,24:50.0,3206,Hilltop,40.7311689,-74.0575736,3203,Hamilton Park,40.72759597,-74.04424731,34038,Subscriber,1983,Male,37
229,3.82,22:16.5,26:06.4,3201,Dey St,40.737711,-74.066921,3640,Journal Square,40.73367,-74.0625,42492,Subscriber,1966,Male,54
862,14.37,28:14.0,42:36.7,3275,Columbus Drive,40.7183552,-74.03891444,3220,5 Corners Library,40.73496102,-74.05950308,42435,Subscriber,1988,Male,32
1757,29.28,29:56.1,59:13.6,3186,Grove St PATH,40.71958612,-74.04311746,3199,Newport Pkwy,40.7287448,-74.0321082,42446,Subscriber,1976,Male,44
348,5.8,31:16.9,37:05.4,3211,Newark Ave,40.72152515,-74.04630454,3681,Grand St,40.71517768,-74.03768331,42314,Subscriber,1989,Male,31
2039,33.98,34:43.9,08:43.8,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3184,Paulus Hook,40.7141454,-74.0335519,42617,Subscriber,1979,Male,41
301,5.02,36:20.9,41:22.1,3679,Bergen Ave,40.72210379,-74.071455,3195,Sip Ave,40.7308971,-74.06391263,40469,Subscriber,1991,Female,29
430,7.17,39:19.4,46:29.6,3186,Grove St PATH,40.71958612,-74.04311746,3187,Warren St,40.7211236,-74.03805095,42221,Subscriber,1992,Male,28
222,3.7,45:19.4,49:02.1,3203,Hamilton Park,40.72759597,-74.04424731,3203,Hamilton Park,40.72759597,-74.04424731,42393,Subscriber,1974,Male,46
2222,37.03,45:25.7,22:27.8,3278,Monmouth and 6th,40.72568548,-74.04879034,3199,Newport Pkwy,40.7287448,-74.0321082,42540,Subscriber,1977,Female,43
387,6.45,45:33.4,52:01.0,3639,Harborside,40.7192517,-74.034234,3279,Dixon Mills,40.72163014,-74.04996783,42148,Subscriber,1969,Male,51
550,9.17,45:47.0,54:57.1,3199,Newport Pkwy,40.7287448,-74.0321082,3209,Brunswick St,40.7241765,-74.0506564,42378,Subscriber,1982,Male,38
553,9.22,45:47.6,55:01.4,3199,Newport Pkwy,40.7287448,-74.0321082,3209,Brunswick St,40.7241765,-74.0506564,42369,Subscriber,1986,Female,34
393,6.55,49:58.7,56:31.7,3211,Newark Ave,40.72152515,-74.04630454,3791,Hoboken Ave at Monmouth St,40.73520838,-74.04696375,42570,Subscriber,1989,Male,31
764,12.73,51:34.2,04:18.4,3194,McGinley Square,40.72533993,-74.06762213,3205,JC Medical Center,40.71653978,-74.04963791,42130,Subscriber,1996,Female,24
227,3.78,01:55.6,05:42.6,3186,Grove St PATH,40.71958612,-74.04311746,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42597,Subscriber,1954,Male,66
1483,24.72,03:17.7,28:01.6,3267,Morris Canal,40.71241882,-74.03852552,3267,Morris Canal,40.71241882,-74.03852552,42402,Customer,1988,Male,32
2047,34.12,06:13.3,40:20.5,3185,City Hall,40.7177325,-74.043845,3205,JC Medical Center,40.71653978,-74.04963791,42304,Subscriber,1990,Female,30
261,4.35,08:54.6,13:16.1,3270,Jersey & 6th St,40.72528911,-74.04557168,3275,Columbus Drive,40.7183552,-74.03891444,42232,Subscriber,1963,Male,57
509,8.48,09:48.0,18:17.5,3481,York St,40.71649,-74.04105,3209,Brunswick St,40.7241765,-74.0506564,42470,Customer,1987,Male,33
1949,32.48,17:01.3,49:30.4,3640,Journal Square,40.73367,-74.0625,3220,5 Corners Library,40.73496102,-74.05950308,42308,Subscriber,1969,Unknown,51
